folder,title,id
"01 Domains/Cisco/01 Network Fundamentals","OSI Model","NET-CISCO-001"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 1 - Physical","NET-CISCO-002"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 2 - Data Link","NET-CISCO-003"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 3 - Network","NET-CISCO-004"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 4 - Transport","NET-CISCO-005"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 5 - Session","NET-CISCO-006"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 6 - Presentation","NET-CISCO-007"
"01 Domains/Cisco/01 Network Fundamentals","OSI Layer 7 - Application","NET-CISCO-008"
"01 Domains/Cisco/01 Network Fundamentals","Encapsulation","NET-CISCO-009"
"01 Domains/Cisco/01 Network Fundamentals","Decapsulation","NET-CISCO-010"
"01 Domains/Cisco/01 Network Fundamentals","PDU","NET-CISCO-011"
"01 Domains/Cisco/01 Network Fundamentals","TCP-IP Model","NET-CISCO-012"
"01 Domains/Cisco/01 Network Fundamentals","Ethernet","NET-CISCO-013"
"01 Domains/Cisco/01 Network Fundamentals","MAC Address","NET-CISCO-014"
"01 Domains/Cisco/01 Network Fundamentals","ARP","NET-CISCO-015"
"01 Domains/Cisco/01 Network Fundamentals","IPv4","NET-CISCO-016"
"01 Domains/Cisco/01 Network Fundamentals","IPv6","NET-CISCO-017"
"01 Domains/Cisco/02 Network Access","VLAN","NET-CISCO-018"
"01 Domains/Cisco/02 Network Access","Trunk","NET-CISCO-019"
"01 Domains/Cisco/02 Network Access","STP","NET-CISCO-020"
"01 Domains/Cisco/02 Network Access","RSTP","NET-CISCO-021"
"01 Domains/Cisco/02 Network Access","EtherChannel","NET-CISCO-022"
"01 Domains/Cisco/02 Network Access","Port Security","NET-CISCO-023"
"01 Domains/Cisco/03 IP Connectivity","Static Routing","NET-CISCO-024"
"01 Domains/Cisco/03 IP Connectivity","Default Route","NET-CISCO-025"
"01 Domains/Cisco/03 IP Connectivity","Administrative Distance","NET-CISCO-026"
"01 Domains/Cisco/03 IP Connectivity","OSPF","NET-CISCO-027"
"01 Domains/Cisco/03 IP Connectivity","OSPF DR Election","NET-CISCO-028"
"01 Domains/Cisco/04 IP Services","DHCP","NET-CISCO-029"
"01 Domains/Cisco/04 IP Services","DNS","NET-CISCO-030"
"01 Domains/Cisco/04 IP Services","NAT","NET-CISCO-031"
"01 Domains/Cisco/04 IP Services","NTP","NET-CISCO-032"
"01 Domains/Cisco/05 Security Fundamentals","ACL","NET-CISCO-033"
"01 Domains/Cisco/05 Security Fundamentals","AAA","NET-CISCO-034"
"01 Domains/Cisco/05 Security Fundamentals","Secure Management","NET-CISCO-035"
"01 Domains/Cisco/06 Automation and Programmability","REST API","NET-CISCO-036"
"01 Domains/Cisco/06 Automation and Programmability","JSON","NET-CISCO-037"
"01 Domains/Cisco/06 Automation and Programmability","YAML","NET-CISCO-038"
"01 Domains/Cisco/06 Automation and Programmability","Network Automation","NET-CISCO-039"
